name iso lon lat
Chile CHL -71.542969 -35.675147
Cyprus CYP 33.429859 35.126413
Luxembourg LUX 6.129582999999999 49.815273
Netherlands NLD 5.291265999999999 52.132633
"United States" USA -95.712891 37.09024
China CHN 104.195397 35.86166
France FRA 2.213749 46.227638
Italy ITA 12.56738 41.87194
Belgium BEL 4.469936 50.503887
Denmark DNK 9.501785 56.26392
Germany DEU 10.451526 51.165691
"South Korea" KOR 127.766922 35.907757
Portugal PRT -8.224454 39.39987199999999
Sweden SWE 18.643501 60.12816100000001
Austria AUT 14.550072 47.516231
Bulgaria BGR 25.48583 42.733883
Croatia HRV 15.2000001 45.1
Czechia CZE 15.472962 49.81749199999999
Greece GRC 21.824312 39.074208
Poland POL 19.145136 51.919438
Turkey TUR 35.243322 38.963745
"United Kingdom" GBR -3.435973 55.378051
Australia AUS 133.775136 -25.274398
Japan JPN 138.252924 36.204824
India IND 78.96288 20.593684
Kuwait KWT 47.481766 29.31166
Qatar QAT 51.183884 25.354826
"Saudi Arabia" SAU 45.079162 23.885942
Finland FIN 25.7481511 61.92410999999999
Hungary HUN 19.5033041 47.162494
Ireland IRL -7.692053599999999 53.1423672
Malta MLT 14.375416 35.937496
Slovakia SVK 19.699024 48.669026
Spain ESP -3.74922 40.46366700000001
Andorra AND 1.521801 42.506285
Gibraltar GIB -5.353585 36.140751
Jersey JEY -2.13125 49.214439
Liechtenstein LIE 9.555373 47.166
Monaco MCO 7.424615799999999 43.73841760000001
Norway NOR 8.468945999999999 60.47202399999999
Switzerland CHE 8.227511999999999 46.818188
Canada CAN -106.346771 56.130366
Bermuda BMU -64.7505 32.3078
Israel ISR 34.851612 31.046051
"New Zealand" NZL 174.885971 -40.900557
Morocco MAR -7.092619999999999 31.791702
Angola AGO 17.873887 -11.202692
Mauritius MUS 57.55215200000001 -20.348404
"South Africa" ZAF 22.937506 -30.559482
"Hong Kong SAR China" HKG 114.109497 22.396428
Taiwan TWN 120.960515 23.69781
Indonesia IDN 113.921327 -0.789275
Malaysia MYS 101.975766 4.210484
Singapore SGP 103.819836 1.352083
Thailand THA 100.992541 15.870032
Bahrain BHR 50.5577 26.0667
Syria SYR 38.996815 34.80207499999999
"United Arab Emirates" ARE 53.847818 23.424076
Bolivia BOL -63.58865299999999 -16.290154
Brazil BRA -51.92528 -14.235004
Colombia COL -74.297333 4.570868
Ecuador ECU -78.18340599999999 -1.831239
Paraguay PRY -58.443832 -23.442503
Peru PER -75.015152 -9.189967
Uruguay URY -55.765835 -32.522779
Venezuela VEN -66.58973 6.42375
"Costa Rica" CRI -83.753428 9.748916999999999
"El Salvador" SLV -88.89653 13.794185
Guatemala GTM -90.23075899999999 15.783471
Mexico MEX -102.552784 23.634501
Panama PAN -80.782127 8.537981
"Antigua & Barbuda" ATG -61.8175207 17.0746557
Aruba ABW -69.968338 12.52111
Bahamas BHS -77.39627999999999 25.03428
Barbados BRB -59.543198 13.193887
"British Virgin Islands" VGB -64.639968 18.420695
"Cayman Islands" CYM -81.2546 19.3133
"Dominican Republic" DOM -70.162651 18.735693
"Puerto Rico" PRI -66.590149 18.220833
"St. Kitts & Nevis" KNA -62.7559043 17.3433796
Belarus BLR 27.953389 53.709807
Russia RUS 105.318756 61.52401
Latvia LVA 24.603189 56.879635
Liberia LBR -9.429499000000002 6.428055
Seychelles SYC 55.491977 -4.679574
Iran IRN 53.688046 32.427908
Lebanon LBN 35.862285 33.854721
Argentina ARG -63.61667199999999 -38.416097
"U.S. Virgin Islands" VIR -64.896335 18.335765
Kazakhstan KAZ 66.923684 48.019573
Ukraine UKR 31.1655799 48.379433
Georgia GEO 43.3569 42.3154
Tunisia TUN 9.537499 33.886917
Tanzania TZA 34.888822 -6.369028
Vietnam VNM 108.277199 14.058324
"Sri Lanka" LKA 80.77179699999999 7.873053999999999
Fiji FJI 178.065032 -17.713371
"Papua New Guinea" PNG 143.95555 -6.314992999999999
Romania ROU 24.96676 45.943161
Slovenia SVN 14.995463 46.151241
"Bosnia & Herzegovina" BIH 17.679076 43.915886
Montenegro MNE 19.374389999999998 42.708678
Serbia SRB 21.005859 44.016521
Macedonia MKD 21.745275 41.608635
Pakistan PAK 69.34511599999999 30.375321
Estonia EST 25.0136071 58.595272
Lithuania LTU 23.881275 55.169438
"Faroe Islands" FRO -6.9118061 61.89263500000001
Guernsey GGY -2.58949 49.4481982
Iceland ISL -19.020835 64.963051
"Isle of Man" IMN -4.548056 54.236107
Algeria DZA 1.659626 28.033886
Egypt EGY 30.802498 26.820553
Libya LBY 17.228331 26.3351
Cameroon CMR 12.354722 7.369721999999999
"Congo - Brazzaville" COG 15.827659 -0.228021
"Congo - Kinshasa" COD 21.758664 -4.038333
"Côte d’Ivoire" CIV -5.547079999999999 7.539988999999999
Ethiopia ETH 40.489673 9.145000000000001
Gabon GAB 11.609444 -0.803689
Ghana GHA -1.023194 7.946527
Guinea GIN -9.696645 9.945587
Kenya KEN 37.906193 -0.023559
Madagascar MDG 46.869107 -18.766947
Mali MLI -3.996166 17.570692
Mauritania MRT -10.940835 21.00789
Mozambique MOZ 35.529562 -18.665695
Namibia NAM 18.49041 -22.95764
Niger NER 8.081666 17.607789
Nigeria NGA 8.675277 9.081999
Rwanda RWA 29.873888 -1.940278
Senegal SEN -14.452362 14.497401
Togo TGO 0.824782 8.619543
Zambia ZMB 27.849332 -13.133897
Zimbabwe ZWE 29.154857 -19.015438
Philippines PHL 121.774017 12.879721
Iraq IRQ 43.679291 33.223191
Jordan JOR 31.260383 34.8785479
Oman OMN 55.975413 21.4735329
Yemen YEM 48.516388 15.552727
Belize BLZ -88.49765 17.189877
Anguilla AIA -63.06861499999999 18.220554
Jamaica JAM -77.297508 18.109581
"Trinidad & Tobago" TTO -61.222503 10.691803
"Turks & Caicos Islands" TCA -71.7979 21.6940,
"Cook Islands" COK -159.777671 -21.236736
Guam GUM 144.793731 13.444304
"Marshall Islands" MHL 171.184478 7.131474
Samoa WSM -172.104629 -13.759029
Albania ALB 20.168331 41.153332
Azerbaijan AZE 47.576927 40.143105
"Burkina Faso" BFA -1.561593 12.238333
Sudan SDN 30.217636 12.862807
Brunei BRN 114.727669 4.535277
"Sierra Leone" SLE -11.779889 8.460555
Bangladesh BGD 90.356331 23.684994
"French Polynesia" PYF -149.406843 -17.679742
"New Caledonia" NCL 165.618042 -20.904305
Armenia ARM 45.038189 40.069099
Kyrgyzstan KGZ 74.766098 41.20438
Moldova MDA 28.369885 47.411631
Uzbekistan UZB 64.585262 41.377491
"Macau SAR China" MAC 113.543873 22.198745
Honduras HND -86.241905 15.199999
Nicaragua NIC -85.207229 12.865416
Nepal NPL 84.12400799999999 28.394857
Cambodia KHM 104.990963 12.565679
Guyana GUY -58.93018 4.860416
Suriname SUR -56.027783 3.919305
Botswana BWA 24.684866 -22.328474
"Cape Verde" CPV -23.0418 16.5388
"Equatorial Guinea" GNQ 10.267895 1.650801
Uganda UGA 32.290275 1.373333
Malawi MWI 34.301525 -13.254308
Vanuatu VUT 166.959158 -15.376706
Maldives MDV 73.22068 3.202778
Eritrea ERI 39.782334 15.179384
Swaziland SWZ 31.465866 -26.522503
Afghanistan AFG 67.709953 33.93911
Mongolia MNG 103.846656 46.862496
"Myanmar (Burma)" MMR 95.955974 21.916221
"American Samoa" ASM -170.132217 -14.270972
Tajikistan TJK 71.276093 38.861034
Haiti HTI -72.285215 18.971187
Nauru NRU 166.931503 -0.522778
Laos LAO 102.495496 19.85627
Burundi BDI 29.918886 -3.373056
Benin BEN 2.315834 9.30769
Bhutan BTN 90.433601 27.514162
"Central African Republic" CAF 20.939444 6.611110999999999
Comoros COM 43.3333 -11.6455
Djibouti DJI 42.590275 11.825138
Dominica DMA -61.37097600000001 15.414999
"Micronesia (Federated States of)" FSM 150.550812 7.425554
Gambia GMB -15.310139 13.443182
Guinea-Bissau GNB -15.180413 11.803749
Grenada GRD -61.67899999999999 12.1165
"St. Lucia" LCA -60.978893 13.909444
Lesotho LSO 28.233608 -29.609988
"Northern Mariana Islands" MNP 145.6739 15.0979
Palau PLW 134.58252 7.514979999999999
"Solomon Islands" SLB 160.156194 -9.64571
"São Tomé & Príncipe" STP 6.733343 0.3301924
Chad TCD 18.732207 15.454166
Timor-Leste TLS 125.727539 -8.874217
Tonga TON -175.198242 -21.178986
"St. Vincent & Grenadines" VCT -61.1863473 13.2509747
